epoch,time,loss,accuracy,val_loss,val_accuracy
0,305.5269320011139,1.291471242904663,0.4627923369407654,0.8704138398170471,0.6331918835639954
1,316.0748116970062,0.7389227151870728,0.6533782482147217,0.722953736782074,0.7133427858352661
2,297.00082540512085,0.6736127138137817,0.6879872679710388,0.7483845353126526,0.7006129026412964
3,298.6406342983246,0.5895789861679077,0.7210606932640076,0.83326256275177,0.6412069797515869
4,302.55394220352173,0.5481008291244507,0.7433853149414062,1.043027400970459,0.5497406721115112
5,298.5362651348114,0.47603538632392883,0.7693125605583191,1.0256052017211914,0.539368212223053
6,310.53514552116394,0.44796472787857056,0.78939288854599,1.0134305953979492,0.5822725296020508
7,307.273752450943,0.4222111701965332,0.7932907938957214,1.3266535997390747,0.49410656094551086
8,306.73482751846313,0.4085303843021393,0.804039716720581,1.6683508157730103,0.43658652901649475
9,303.60529041290283,0.38893115520477295,0.8143160939216614,1.0635024309158325,0.5931164622306824
10,294.85397458076477,0.37756848335266113,0.8181549906730652,1.190569281578064,0.6030174493789673
11,297.41955757141113,0.36325863003730774,0.8260689973831177,1.2586125135421753,0.5327675342559814
12,318.51930689811707,0.3553256392478943,0.8307347297668457,1.3351706266403198,0.5384252667427063
13,324.55956864356995,0.3480120301246643,0.834750771522522,0.9782071113586426,0.6463932394981384
14,329.403831243515,0.33011654019355774,0.8412473201751709,1.007193922996521,0.629891574382782
15,315.77752566337585,0.31061461567878723,0.84992915391922,1.0502976179122925,0.6350777745246887
16,335.56932520866394,0.32589343190193176,0.8462083339691162,1.2929884195327759,0.5657708644866943
17,347.5718483924866,0.3054039776325226,0.8539451956748962,1.0852420330047607,0.6228194236755371
18,343.11038732528687,0.2976417541503906,0.8541224002838135,0.7928335666656494,0.7213578224182129
19,344.3544647693634,0.2799508273601532,0.8656980991363525,0.879905104637146,0.6793965101242065
20,352.0123550891876,0.27814343571662903,0.8651665449142456,0.982465386390686,0.6624233722686768
21,356.35009241104126,0.2669273018836975,0.8721946477890015,1.190902590751648,0.5950023531913757
22,367.2588131427765,0.27068981528282166,0.868946373462677,1.0089353322982788,0.6143328547477722
23,376.1861746311188,0.2731725573539734,0.869596004486084,1.2215192317962646,0.5676567554473877
24,379.47894191741943,0.25370311737060547,0.8765060305595398,0.9305812120437622,0.6709099411964417
